CustomerID,Name,Email,Age,Gender,Location,ProductID,Category,Subcategory,Price,Weight,Dimensions,OrderID,Date_Order,TotalAmount,ShippingMethod,Status,InventoryID,StockLevel,RestockThreshold,LastRestockDate,WarehouseID,Location_warehouse,Capacity,SupplierID,Company,Location_Supplier,QualityScore,errorMessage
0,Kayla Howell,unknown,112,Male,Lake Benjamin,0,Electronics©,Smart Watches,384.37,16.16,33x13x47,0,2021-08-04,£280.09,Express,Pending,0,862,25,2022-03-06,54,Jasonborough,15745,2,Miller-Pearson,Clarkmouth,9.83,Email.compareTo("unknown") != 0 failed|Age.compareTo(110) < 0 failed
6,Michael Gordon,hallashley@example.com,30,Male,Williamsland,6,Furniture,Chairs,509.78,25.0,13x44x24,6,17/09/2022,$3764.04,Standard,Pending,6,210,98,2021-08-18,126,Reyestown,12711,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
8,Jason Mcdaniel,phamilton@example.com,52,Male,North Gregoryton,8,Clothing,Shoes,85.79,4.69,45x38x15,8,25/02/2023,$1661.85,Two-day,Cancelled,8,855,301,2022-06-08,22,North Calvinbury,12781,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
12,Misty Gray,deanna71@example.com,30,Male,Port Jasonville,12,Clothing,Dresses,692.54,27.0,29x23x31,12,02-01-2022,$342.03,Standard,Cancelled,12,546,114,2022-06-24,72,East William,16980,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
33,Kevin Price,oevans@example.net,61,Female,Reedborough,13,Electronics,Headphones,428.18,5.37,47x32x49,33,13/09/2020,£1251.84,Two-day,Delivered,33,188,431,2020-12-23,339,Phillipsside,10896,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
34,Kelsey Cole,evan36@example.net,54,Female,Johnberg,6,Furniture,Chairs,177.16,23.71,29x3x28,34,28/06/2021,$134.86,Standard,Delivered,34,175,148,2022-02-13,479,Victortown,17609,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
47,Chad Zamora,kshelton@example.com,19,Male,New Matthewton,12,Clothing,Dresses,233.1,5.62,29x46x38,47,02-12-2022,$653.28,Two-day,Delivered,47,822,112,2021-09-20,1,North Samantha,11291,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
50,Paul Schmidt,jason64@example.org,23,Male,Greenburgh,21,Furniture,Sofas,73.5,39.4,24x8x3,50,2020-09-18,$3397.44,Express,Shipped,50,453,328,2021-05-11,268,Chasefurt,16822,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
51,Kimberly Nelson,coffeyadam@example.org,59,Male,Port Terrencechester,9,Furniture,Beds,910.48,26.64,3x5x19,51,2021-05-20,€2317.25,Two-day,Delivered,51,359,378,2022-01-12,353,Heatherside,11833,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
67,Philip Melton,michael51@example.com,47,Female,East Austin,6,Furniture,Chairs,563.05,1.44,13x18x19,67,10/11/2020,€2860.59,Standard,Delivered,67,818,464,2022-05-26,355,Duffyville,13215,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
77,Deanna Fisher,kerry15@example.net,24,Female,Morrisonton,0,Electronics,Smart Watches,126.43,37.89,34x50x36,77,17/10/2022,£1234.2,Standard,Pending,77,913,349,2020-10-03,226,East Daniel,17215,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
87,Leah Leonard,elizabeth56@example.org,44,Male,Debraton,0,Electronics,Smart Watches,117.63,10.51,36x37x38,87,2021-07-14,€1706.98,Express,Cancelled,87,1000,103,2021-08-20,327,North Annview,13868,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
100,Kevin Arnold,unknown,19,Female,Hodgesville,21,Furniture,Sofas,970.29,47.37,13x41x13,100,2021-06-13,€1233.72,Standard,Cancelled,100,190,167,2021-07-14,54,Jasonborough,15745,5,Morgan LLC,Port Robynmouth,1.23,Email.compareTo("unknown") != 0 failed
108,Erica Moran DDS,kimberlydavis@example.org,46,Female,Laurentown,11,Clothing,Hats,296.05,48.09,43x27x27,108,2022-05-24,£930.75,Two-day,Shipped,108,977,395,2021-09-10,449,East Bobbystad,9940,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
116,Mike Ryan,bobby84@example.org,36,Male,Jenniferton,1,Electronics,Cameras,145.08,2.85,49x25x36,116,04-25-2023,$1413.58,Two-day,Pending,116,847,97,2021-11-04,369,North Melanie,17528,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
132,Tina Evans,valenzuelacaitlyn@example.org,24,Female,South Dominique,1,Electronics,Cameras,791.44,46.9,14x46x12,132,2020-10-30,$312.36,Two-day,Delivered,132,796,413,2021-01-18,424,Masonfurt,12014,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
135,Jeffrey Gonzales,brittanyhodges@example.com,28,Male,Lake Erinville,16,Furniture,Tables,873.34,37.49,47x37x24,135,20/05/2021,£663.75,Two-day,Pending,135,663,265,2021-01-12,369,North Melanie,17528,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
145,Justin Houston,reidjennifer@example.com,57,Male,West Mitchell,8,Clothing,Shoes,717.8,6.91,45x30x18,145,01/06/2021,£527.18,Standard,Cancelled,145,196,124,2021-07-26,225,West Edwardville,19755,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
149,Karen Mckay,douglasarmstrong@example.org,64,Female,South Mark,6,Furniture,Chairs,332.77,9.01,11x9x10,149,11-13-2022,£1950.28,Standard,Shipped,149,21,441,2022-07-02,91,Lake Robertamouth,8607,0,Johnson-Rodriguez,Port Robynmouth,0.0,QualityScore.compareTo(0) != 0 failed
