CustomerID,Name,Email,Age,Gender,Location,ProductID,Category,Subcategory,Price,Weight,Dimensions,OrderID,Date_Order,TotalAmount,ShippingMethod,Status,InventoryID,StockLevel,RestockThreshold,LastRestockDate,WarehouseID,Location_warehouse,Capacity,SupplierID,Company,Location_Supplier,QualityScore
0,Kayla Howell,unknown,112,Male,Lake Benjamin,0,Electronics©,Smart Watches,384.37,16.16,33x13x47,0,2021-08-04,£280.09,Express,Pending,0,862,25,2022-03-06,54,Jasonborough,15745,2,Miller-Pearson,Clarkmouth,9.83
1,Wanda Graham,brianfisher@example.com,65,Female,West Joshua,1,Electronics,Cameras,331.4,21.85,8x49x50,1,03-08-2021,£740.51,Two-day,Cancelled,1,549,254,2020-11-23,6,Dawnport,7291,2,Miller-Pearson,Clarkmouth,9.83
2,Raymond James,brownfred@example.com,21,Male,Sweeneyton,2,Electronics,Mobile Phones,534.75,40.74,6x30x30,2,2020-10-21,$1560.72,Two-day,Cancelled,2,656,236,2022-02-10,236,Hallview,10609,8,Parks-Gallegos,Jenkinsside,6.82
3,Thomas Smith,anthonyleon@example.com,68,Female,Lake Matthew,3,Furniture,Cabinets,259.52,11.76,23x27x1,3,04-07-2022,$1876.08,Express,Pending,3,621,88,2021-07-04,239,Mckenzieton,16255,5,Morgan LLC,Port Robynmouth,1.23
4,Matthew Lee,david54@example.org,66,Female,West Kristinbury,4,Clothing,T-Shirts,800.64,13.83,26x21x15,4,11/05/2022,£170.67,Standard,Pending,4,557,385,2022-08-16,289,Port Austin,16559,2,Miller-Pearson,Clarkmouth,9.83
5,Charles Davis,charles60@example.com,27,Female,New Kenneth,2,Electronics,Mobile Phones,319.88,44.62,34x43x46,5,2021-11-17,€439.55,Two-day,Pending,5,334,343,2022-03-30,92,Cooperland,5747,5,Morgan LLC,Port Robynmouth,1.23
6,Michael Gordon,hallashley@example.com,30,Male,Williamsland,6,Furniture,Chairs,509.78,25.0,13x44x24,6,17/09/2022,$3764.04,Standard,Pending,6,210,98,2021-08-18,126,Reyestown,12711,0,Johnson-Rodriguez,Port Robynmouth,0.0
7,Alicia Wood,ovargas@example.org,19,Male,Marshallville,3,Furniture,Cabinets,511.68,28.1,30x12x12,7,10-10-2021,£1916.16,Two-day,Shipped,7,190,133,2020-12-19,370,New Monica,7998,9,Johnson-Rodriguez,Katherineborough,7.81
8,Jason Mcdaniel,phamilton@example.com,52,Male,North Gregoryton,8,Clothing,Shoes,85.79,4.69,45x38x15,8,25/02/2023,$1661.85,Two-day,Cancelled,8,855,301,2022-06-08,22,North Calvinbury,12781,0,Johnson-Rodriguez,Port Robynmouth,0.0
9,Ernest Sherman,molly51@example.com,66,Female,Brownstad,9,Furniture,Beds,43.71,33.91,8x30x14,9,08-02-2021,£2305.72,Express,Cancelled,9,164,140,2020-11-29,9,Port Catherine,16660,7,Miller Group,Clarkmouth,6.56
10,Diana Moore,diazlori@example.org,68,Female,Port Stephanie,10,Electronics,Laptops,63.67,28.14,12x32x36,10,05-01-2021,€4573.25,Two-day,Cancelled,10,88,217,2021-10-02,417,New Anthonyfort,16631,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
11,Sara Lawrence,davidhayes@example.com,40,Male,Derrickburgh,11,Clothing,Hats,514.67,24.37,1x50x44,11,24/04/2021,€3996.36,Express,Cancelled,11,934,305,2022-05-28,38,South Timothy,18852,3,Johnson-Rodriguez,Katherineborough,7.4
12,Misty Gray,deanna71@example.com,30,Male,Port Jasonville,12,Clothing,Dresses,692.54,27.0,29x23x31,12,02-01-2022,$342.03,Standard,Cancelled,12,546,114,2022-06-24,72,East William,16980,0,Johnson-Rodriguez,Port Robynmouth,0.0
13,Antonio Pruitt,rgutierrez@example.net,49,Male,South Sierratown,13,Electronics,Headphones,899.24,12.85,44x22x25,13,03-01-2023,€2272.86,Standard,Pending,13,977,431,2020-12-25,257,Hawkinsshire,16821,7,Miller Group,Clarkmouth,6.56
14,Laurie Mckee,vwright@example.com,67,Female,South Benjaminland,3,Furniture,Cabinets,433.85,42.68,28x18x34,14,09-13-2021,€2603.36,Standard,Pending,14,412,166,2021-01-02,259,Sweeneytown,13411,2,Miller-Pearson,Clarkmouth,9.83
15,Anthony Holland,cmoore@example.net,29,Male,East Elizabeth,1,Electronics,Cameras,47.35,36.32,50x42x16,15,05-09-2023,£4143.2,Standard,Shipped,15,159,59,2020-10-15,196,East Cameron,16860,5,Morgan LLC,Port Robynmouth,1.23
16,Jessica Barber,robert54@example.net,34,Female,Newtontown,16,Furniture,Tables,120.26,7.19,50x5x41,16,02/05/2022,£2313.66,Standard,Shipped,16,177,317,2022-01-22,84,East Hunterbury,17697,3,Johnson-Rodriguez,Katherineborough,7.4
17,William Hardy,hsmith@example.net,45,Female,New Terrimouth,0,Electronics,Smart Watches,851.75,36.72,20x20x9,17,02-14-2023,$726.0,Two-day,Shipped,17,413,74,2021-11-18,153,North Tracyborough,15164,9,Johnson-Rodriguez,Katherineborough,7.81
18,Steven Thomas,becky02@example.com,54,Male,Camerontown,16,Furniture,Tables,455.83,7.23,2x9x31,18,04/02/2023,$244.74,Standard,Shipped,18,998,486,2022-07-02,179,Morrisbury,15218,6,Morgan LLC,New Marktown,2.48
19,Amanda Thomas,caitlinkoch@example.net,35,Male,New Kathy,9,Furniture,Beds,479.38,1.96,19x25x18,19,01-16-2023,£763.98,Express,Delivered,19,451,108,2021-04-13,481,Margaretberg,14080,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
