ID;Name;Age;Gender;City;Country;CreditCard;FullAddress;UserSignUpDate;UserLastPurchaseDate;UserStatus;UserTotalPurchases;UserSegment;UserLocation;UserSourceType;UserLastLoginDate;UserPurchaseFrequency;ProductName;Category;Subcategory;Price;DatePurchase;Quantity;Rating;Comment
0;ELIZABETH HARRIS;42;F;CHUNGBERG;MISMATCHED COUNTRY;2227218447017949;75874 Chad Mountain Suite 588, West Robertchester, VT 37485;2021-10-31;2022-09-10;Churned;6;frequent shopper;VANESSABURGH;PAID ADS;2022-10-23;YEARLY;UNKNOWN;FURNITURE;CHAIR;45;2022-11-16;1;5;Decade cold it town people.
1;MICHELE BEST;72;M;PORT SERGIO;EGYPT;2556439104848944;4039 David Fords Apt. 678, Lake Christopherberg, PA 42384;2023-03-25;2023-05-06;Churned;7;frequent shopper;TAYLORBURY;PAID ADS;2023-05-15;YEARLY;FRESHVEGETABLES;GROCERY;VEGETABLES;79;2023-03-26;1;1;Really development floor of.
2;JAKE TAYLOR;0;M;EVANSMOUTH;CZECH REPUBLIC;2273966520760545;748 Mendez Ridges Apt. 994, Lake Jonathanton, PW 67869;2021-09-14;2023-04-21;Churned;14;high value;SETHVILLE;ORGANIC SEARCH;2023-07-20;YEARLY;TASTYBEVERAGES;GROCERY;BEVERAGES;1;2023-07-12;10;4;Cut television step increase structure serve understand.
3;CHRISTIAN CURRY MD;64;M;JENSENFURT;BRUNEI DARUSSALAM;2238348117052863;735 Jones Mews, New Ginafurt, AR 99785;2022-03-10;2023-01-24;Churned;9;frequent shopper;SOUTH WILLIAM;REFERRAL;2023-04-25;YEARLY;COMFORTCHAIR;FURNITURE;CHAIR;770;2023-06-26;0;0;Popular outside industry listen.
4;CRAIG JONES;92;M;EAST JERRY;WALLIS AND FUTUNA;2225629684025639;95949 Jill Circle, Tuckerchester, VI 49522;2023-05-31;2023-06-26;Active;7;frequent shopper;CINDYBOROUGH;ORGANIC SEARCH;2023-06-30;YEARLY;FICTIONTALES;BOOKS;FICTION;994;2021-05-08;1;5;Almost account important charge oil style anyone.
5;ANDREA MCPHERSON;0;F;NEW DAVIDFURT;SWAZILAND;2492513008185491;92339 John Ridge Apt. 245, Bakerstad, UT 36573;2022-10-14;2023-06-09;Active;15;high value;NEW ISAIAHVIEW;PAID ADS;2023-07-22;YEARLY;TASTYBEVERAGES;GROCERY;BEVERAGES;896;2022-12-14;5;1;Line rock mother fight most technology notice.
6;LISA WATKINS;0;M;WEST RICKYSHIRE;UGANDA;5239766461502187;6030 Joseph Vista, South Stephen, NV 91994;2022-09-05;2023-04-29;Churned;12;high value;BLAKETOWN;ORGANIC SEARCH;2023-06-23;YEARLY;PANTSWEAR;CLOTHING;PANTS;86;2021-03-17;3;2;Table fund position ten bill.
7;MEGHAN MERRITT;61;F;NORTH CASSANDRA;GUERNSEY;2294125117218335;962 Stephanie Gateway, Rodriguezstad, KS 94703;2022-01-01;2022-05-08;Churned;11;high value;SOUTH SUSANBURY;PAID ADS;2022-10-29;RARELY;SHIRTWEAR;CLOTHING;SHIRT;495;2020-11-07;5;4;Marriage fall other grow see natural.
8;CARLA BENJAMIN;91;F;EAST DONNA;NETHERLANDS ANTILLES;2258601028634608;075 Harvey Loop, Taylorville, NC 44618;2021-10-16;2023-01-10;Churned;8;frequent shopper;KELLERHAVEN;PAID ADS;2023-08-07;YEARLY;TASTYSNACKS;GROCERY;SNACKS;5;2021-04-05;1;6;Anyone song indeed everyone.
9;ALICIA FRENCH;0;M;PORT DANIELLAND;COMOROS;2417156304472502;199 Steven Burg Suite 236, New Karenburgh, IA 85260;2022-01-10;2023-01-21;Churned;1;occasional shopper;PALMERFORT;PAID ADS;2023-07-17;YEARLY;VEGETABLESBURST;GROCERY;VEGETABLES;793;2023-01-22;5;1;Meet politics decision.
10;REBEKAH ANDERSON;0;F;NORTH KRISTENMOUTH;ARMENIA;5367060619379779;PSC 1260, Box 2652, APO AP 35423;2023-01-31;2023-07-07;Active;14;high value;PAMELAMOUTH;PAID ADS;2023-08-20;YEARLY;JACKETWEAR;CLOTHING;JACKET;482;2022-10-17;4;6;Democrat possible how.
11;RONALD JOHNSON;0;F;PORT ALEXANDRAFORT;BOSNIA AND HERZEGOVINA;2717583466899775;PSC 7513, Box 2130, APO AE 18125;2022-06-09;2023-03-22;Churned;11;high value;TAYLORSIDE;REFERRAL;2023-07-09;YEARLY;FICTIONGUIDE;BOOKS;FICTION;580;2022-12-29;2;1;Century at energy participant loss second allow.
