CustomerID,Name,Email,Age,Gender,Location,ProductID,Category,Subcategory,Price,Weight,Dimensions,OrderID,Date_Order,TotalAmount,ShippingMethod,Status,InventoryID,StockLevel,RestockThreshold,LastRestockDate,WarehouseID,Location_warehouse,Capacity,SupplierID,Company,Location_Supplier,QualityScore
1,WANDA GRAHAM,BRIANFISHER@EXAMPLE.COM,65,FEMALE,West Joshua,1,ELECTRONICS,CAMERAS,331.4,21.85,8x49x50,1,03-08-2021,£740.51,TWO-DAY,Cancelled,1,549,254,2020-11-23,6,Dawnport,7291,2,Miller-Pearson,CLARKMOUTH,9.83
2,RAYMOND JAMES,BROWNFRED@EXAMPLE.COM,21,MALE,Sweeneyton,2,ELECTRONICS,MOBILE PHONES,534.75,40.74,6x30x30,2,10-21-2020,$1560.72,TWO-DAY,Cancelled,2,656,236,2022-02-10,236,Hallview,10609,8,Parks-Gallegos,JENKINSSIDE,6.82
3,THOMAS SMITH,ANTHONYLEON@EXAMPLE.COM,68,FEMALE,Lake Matthew,3,FURNITURE,CABINETS,259.52,11.76,23x27x1,3,04-07-2022,$1876.08,EXPRESS,Pending,3,621,88,2021-07-04,239,Mckenzieton,16255,5,Morgan LLC,PORT ROBYNMOUTH,1.23
4,MATTHEW LEE,DAVID54@EXAMPLE.ORG,66,FEMALE,West Kristinbury,4,CLOTHING,T-SHIRTS,800.64,13.83,26x21x15,4,05-11-2022,£170.67,STANDARD,Pending,4,557,385,2022-08-16,289,Port Austin,16559,2,Miller-Pearson,CLARKMOUTH,9.83
5,CHARLES DAVIS,CHARLES60@EXAMPLE.COM,27,FEMALE,New Kenneth,2,ELECTRONICS,MOBILE PHONES,319.88,44.62,34x43x46,5,11-17-2021,€439.55,TWO-DAY,Pending,5,334,343,2022-03-30,92,Cooperland,5747,5,Morgan LLC,PORT ROBYNMOUTH,1.23
7,ALICIA WOOD,OVARGAS@EXAMPLE.ORG,19,MALE,Marshallville,3,FURNITURE,CABINETS,511.68,28.1,30x12x12,7,10-10-2021,£1916.16,TWO-DAY,Shipped,7,190,133,2020-12-19,370,New Monica,7998,9,Johnson-Rodriguez,KATHERINEBOROUGH,7.81
9,ERNEST SHERMAN,MOLLY51@EXAMPLE.COM,66,FEMALE,Brownstad,9,FURNITURE,BEDS,43.71,33.91,8x30x14,9,08-02-2021,£2305.72,EXPRESS,Cancelled,9,164,140,2020-11-29,9,Port Catherine,16660,7,Miller Group,CLARKMOUTH,6.56
10,DIANA MOORE,DIAZLORI@EXAMPLE.ORG,68,FEMALE,Port Stephanie,10,ELECTRONICS,LAPTOPS,63.67,28.14,12x32x36,10,05-01-2021,€4573.25,TWO-DAY,Cancelled,10,88,217,2021-10-02,417,New Anthonyfort,16631,1,Salas Gonzalez and Todd,PATRICIABERG,8.21
11,SARA LAWRENCE,DAVIDHAYES@EXAMPLE.COM,40,MALE,Derrickburgh,11,CLOTHING,HATS,514.67,24.37,1x50x44,11,04-24-2021,€3996.36,EXPRESS,Cancelled,11,934,305,2022-05-28,38,South Timothy,18852,3,Johnson-Rodriguez,KATHERINEBOROUGH,7.4
13,ANTONIO PRUITT,RGUTIERREZ@EXAMPLE.NET,49,MALE,South Sierratown,13,ELECTRONICS,HEADPHONES,899.24,12.85,44x22x25,13,03-01-2023,€2272.86,STANDARD,Pending,13,977,431,2020-12-25,257,Hawkinsshire,16821,7,Miller Group,CLARKMOUTH,6.56
14,LAURIE MCKEE,VWRIGHT@EXAMPLE.COM,67,FEMALE,South Benjaminland,3,FURNITURE,CABINETS,433.85,42.68,28x18x34,14,09-13-2021,€2603.36,STANDARD,Pending,14,412,166,2021-01-02,259,Sweeneytown,13411,2,Miller-Pearson,CLARKMOUTH,9.83
15,ANTHONY HOLLAND,CMOORE@EXAMPLE.NET,29,MALE,East Elizabeth,1,ELECTRONICS,CAMERAS,47.35,36.32,50x42x16,15,05-09-2023,£4143.2,STANDARD,Shipped,15,159,59,2020-10-15,196,East Cameron,16860,5,Morgan LLC,PORT ROBYNMOUTH,1.23
16,JESSICA BARBER,ROBERT54@EXAMPLE.NET,34,FEMALE,Newtontown,16,FURNITURE,TABLES,120.26,7.19,50x5x41,16,05-02-2022,£2313.66,STANDARD,Shipped,16,177,317,2022-01-22,84,East Hunterbury,17697,3,Johnson-Rodriguez,KATHERINEBOROUGH,7.4
17,WILLIAM HARDY,HSMITH@EXAMPLE.NET,45,FEMALE,New Terrimouth,0,ELECTRONICS,SMART WATCHES,851.75,36.72,20x20x9,17,02-14-2023,$726.0,TWO-DAY,Shipped,17,413,74,2021-11-18,153,North Tracyborough,15164,9,Johnson-Rodriguez,KATHERINEBOROUGH,7.81
18,STEVEN THOMAS,BECKY02@EXAMPLE.COM,54,MALE,Camerontown,16,FURNITURE,TABLES,455.83,7.23,2x9x31,18,02-04-2023,$244.74,STANDARD,Shipped,18,998,486,2022-07-02,179,Morrisbury,15218,6,Morgan LLC,NEW MARKTOWN,2.48
19,AMANDA THOMAS,CAITLINKOCH@EXAMPLE.NET,35,MALE,New Kathy,9,FURNITURE,BEDS,479.38,1.96,19x25x18,19,01-16-2023,£763.98,EXPRESS,Delivered,19,451,108,2021-04-13,481,Margaretberg,14080,1,Salas Gonzalez and Todd,PATRICIABERG,8.21
